,0,1
528,1412812800000,358.395
529,1412899200000,357.5549999999999
530,1412985600000,359.515
531,1413072000000,374.1675000000001
532,1413158400000,387.0387999999999
533,1413244800000,398.2888
534,1413331200000,392.1900000000001
535,1413417600000,379.3912999999999
536,1413504000000,380.2925
537,1413590400000,389.1163
538,1413676800000,386.945
539,1413763200000,379.7699999999999
540,1413849600000,382.4137999999999
541,1413936000000,379.4425000000001
542,1414022400000,356.2000000000001
543,1414108800000,354.3175000000001
544,1414195200000,347.0304940564094
545,1414281600000,350.1888000000001
546,1414368000000,348.29
547,1414454400000,351.5638000000001
548,1414540800000,333.1474999999999
549,1414627200000,343.6674999999999
550,1414713600000,336.5879758057807
551,1414800000000,323.9763
552,1414886400000,323.9849999999999
553,1414972800000,323.995
554,1415059200000,328.0083
555,1415145600000,337.5933
556,1415232000000,347.8183
557,1415318400000,341.2317
558,1415404800000,344.1783
559,1415491200000,363.4241291015933
560,1415577600000,363.7649999999999
561,1415664000000,366.15
562,1415750400000,418.5783
563,1415836800000,414.7083
564,1415923200000,395.245
565,1416009600000,377.3267
566,1416096000000,387.6233
567,1416182400000,384.9
568,1416268800000,374.8683
569,1416355200000,376.7883
570,1416441600000,355.3888345541618
571,1416528000000,349.3882854323945
572,1416614400000,351.5500000000001
573,1416700800000,366.7817
574,1416787200000,377.7417
575,1416873600000,375.248
576,1416960000000,365.7660000000001
577,1417046400000,368.448
578,1417132800000,376.951
579,1417219200000,374.9649999999999
580,1417305600000,376.472
581,1417392000000,379.489
582,1417478400000,381.3768000000001
583,1417564800000,374.103
584,1417651200000,368.2282000000001
585,1417737600000,376.379
586,1417824000000,373.671
587,1417910400000,374.448
588,1417996800000,361.433
589,1418083200000,350.9280000000001
590,1418169600000,346.9798718363186
591,1418256000000,346.9089999999999
592,1418342400000,351.502
593,1418428800000,347.484
594,1418515200000,350.133
595,1418601600000,344.615
596,1418688000000,328.5340000000001
597,1418774400000,318.828
598,1418860800000,309.765
599,1418947200000,317.54
600,1419033600000,328.7740000000001
601,1419120000000,319.501
602,1419206400000,329.886
603,1419292800000,333.97
604,1419379200000,322.194
605,1419465600000,318.166
606,1419552000000,327.7169708710151
607,1419638400000,314.568
608,1419724800000,316.491
609,1419811200000,312.6329999999999
610,1419897600000,310.079
611,1419984000000,317.379
612,1420070400000,313.9920000000001
613,1420156800000,314.446
614,1420243200000,286.572
615,1420329600000,260.936
616,1420416000000,273.22
617,1420502400000,285.3738000000001
618,1420588800000,295.8725
619,1420675200000,284.4525
620,1420761600000,289.5738000000001
621,1420848000000,274.533
622,1420934400000,267.184
623,1421020800000,268.353667700943
624,1421107200000,221.436
625,1421193600000,172.1479
626,1421280000000,210.5559
627,1421366400000,205.816
628,1421452800000,199.4914
629,1421539200000,208.9892
630,1421625600000,214.545
631,1421712000000,210.5137
632,1421798400000,224.0451
633,1421884800000,232.0423000000001
634,1421971200000,232.898
635,1422057600000,248.096
636,1422144000000,253.8388999999999
637,1422230400000,271.2882000000001
638,1422316800000,259.2356
639,1422489600000,232.5329422304941
640,1422576000000,228.6354
641,1422662400000,218.0233
642,1422748800000,226.2697
643,1422835200000,240.0193
644,1422921600000,226.0119
645,1423008000000,225.3083
646,1423094400000,216.9136
647,1423180800000,222.4872
648,1423267200000,227.2050999999999
649,1423353600000,222.9061
650,1423440000000,220.0922
651,1423526400000,220.6493
652,1423612800000,219.0956
653,1423699200000,222.0401587875259
654,1423785600000,235.6774
655,1423872000000,259.0086000000001
656,1423958400000,232.9962
657,1424044800000,235.9199
658,1424131200000,242.4568
659,1424217600000,234.6238
660,1424304000000,240.2988
661,1424390400000,244.0821
662,1424476800000,244.1459
663,1424563200000,235.5529999999999
664,1424649600000,238.1319
665,1424736000000,238.7314
666,1424822400000,237.378
667,1424908800000,236.1711557723409
668,1424995200000,253.8991
669,1425081600000,253.5991
670,1425168000000,257.7075
671,1425254400000,269.9614999999999
672,1425340800000,280.6241999999999
673,1425427200000,273.0192999999999
674,1425513600000,274.8255
675,1425600000000,272.3412999999999
676,1425686400000,275.5846387340832
677,1425772800000,274.578
678,1425859200000,289.2957000000001
679,1425945600000,290.3057
680,1426032000000,295.961
681,1426118400000,293.9203
682,1426204800000,288.0364999999999
683,1426291200000,281.4887
684,1426377600000,285.2645
685,1426464000000,290.0955000000001
686,1426550400000,284.3491
687,1426636800000,255.6062
688,1426723200000,260.0037
689,1426809600000,260.9075
690,1426896000000,259.4899
691,1426982400000,267.7980999999999
692,1427068800000,266.0272
693,1427155200000,245.1679
694,1427241600000,246.2715
695,1427328000000,247.5595
696,1427414400000,247.1476
697,1427500800000,252.0497
698,1427587200000,241.9136999999999
699,1427673600000,246.5418
700,1427760000000,243.2692000000001
701,1427846400000,246.7755
702,1427932800000,252.341
703,1428019200000,253.6226999999999
704,1428105600000,253.3213
705,1428192000000,259.7117999999999
706,1428278400000,255.4233
707,1428364800000,253.2085
708,1428451200000,244.2709
709,1428537600000,243.2006548544864
710,1428624000000,234.5253
711,1428710400000,236.4501
712,1428796800000,235.7386
713,1428883200000,223.9464
714,1428969600000,217.9995
715,1429056000000,223.0161
716,1429142400000,227.9995
717,1429228800000,222.4171382852381
718,1429315200000,222.9536999999999
719,1429401600000,222.6812
720,1429488000000,224.3086
721,1429574400000,234.6867000000001
722,1429660800000,233.7807
723,1429747200000,235.1735
724,1429833600000,230.9863
725,1429920000000,225.9568
726,1430006400000,218.5065
727,1430092800000,228.5712
728,1430179200000,225.6422999999999
729,1430265600000,225.9978
730,1430352000000,236.2208
731,1430438400000,232.7402999999999
732,1430524800000,235.1563
733,1430611200000,239.882
734,1430697600000,238.9705999999999
735,1430784000000,236.0015000000001
736,1430870400000,229.8152
737,1430956800000,236.8450000000001
738,1431043200000,243.657
739,1431129600000,241.5321
740,1431216000000,239.5548
741,1431302400000,241.8506
742,1431388800000,241.5189000000001
743,1431475200000,235.4793
744,1431561600000,236.704
745,1431648000000,236.9908
746,1431734400000,235.9781
747,1431820800000,236.0847
748,1431907200000,232.4757
749,1431993600000,231.9446000000001
750,1432080000000,234.048
751,1432166400000,235.4204999999999
752,1432252800000,240.9352
753,1432339200000,239.0329940983288
754,1432425600000,241.2417000000001
755,1432512000000,237.441
756,1432598400000,237.4971
757,1432684800000,237.2305
758,1432771200000,237.4891000000001
759,1432857600000,237.0714
760,1432944000000,233.4572
761,1433030400000,229.6785
762,1433116800000,223.3178
763,1433203200000,225.7387
764,1433289600000,225.4831
765,1433376000000,224.1748
766,1433462400000,224.7413
767,1433548800000,225.2889
768,1433635200000,223.6157
769,1433721600000,228.7013000000001
770,1433808000000,229.5263999999999
771,1433894400000,229.0022
772,1433980800000,229.9343000000001
773,1434067200000,230.5181
774,1434153600000,232.6301
775,1434240000000,233.6681
776,1434326400000,237.2013
777,1434412800000,250.4743
778,1434499200000,247.6944000000001
779,1434585600000,248.5519999999999
780,1434672000000,242.9967
781,1434758400000,245.4754
782,1434844800000,243.9959
783,1434931200000,247.2790000000001
784,1435017600000,243.8486
785,1435104000000,240.5377000000001
786,1435190400000,242.4769
787,1435276800000,242.4819
788,1435363200000,250.621
789,1435449600000,248.3451
790,1435536000000,256.3038739667178
791,1435622400000,262.4063254601778
792,1435708800000,257.5058
793,1435795200000,254.6537509187558
794,1435881600000,255.161
795,1435968000000,260.415
796,1436054400000,271.0401208003443
797,1436140800000,268.595
798,1436227200000,265.3844519614875
799,1436313600000,269.6130164214266
800,1436400000000,268.8928000000001
801,1436486400000,285.0223
802,1436572800000,291.8907431569518
803,1436659200000,310.1915636277567
804,1436745600000,290.6655
805,1436832000000,286.6653999999999
806,1436918400000,283.9491880809251
807,1437004800000,276.6800999999999
808,1437091200000,278.3728
809,1437177600000,274.4838999999999
810,1437264000000,272.806179588859
811,1437350400000,277.2454
812,1437436800000,274.9428876558478
813,1437523200000,276.1756000000001
814,1437609600000,275.6135
815,1437696000000,288.4447167883336
816,1437782400000,288.3881586253327
817,1437868800000,291.7037645294952
818,1437955200000,292.6148
819,1438041600000,293.9933
820,1438128000000,288.7194990885924
821,1438214400000,286.8366
822,1438300800000,283.6760591480217
823,1438387200000,280.7014
824,1438473600000,281.7267
825,1438560000000,281.829870770124
826,1438646400000,284.2393
827,1438732800000,281.4010623650275
828,1438819200000,278.0134
829,1438905600000,278.5088137572824
830,1438992000000,259.8007283854695
831,1439078400000,264.3384833893257
832,1439164800000,263.5782
833,1439251200000,269.8668
834,1439337600000,267.7126
835,1439424000000,263.6558186169038
836,1439510400000,265.1281000000001
837,1439596800000,260.4762322897643
838,1439683200000,257.8158000000001
839,1439769600000,257.0634000000001
840,1439856000000,253.0766
841,1439942400000,225.9602
842,1440028800000,234.6379
843,1440115200000,232.3324000000001
844,1440201600000,229.1488
845,1440288000000,227.2453999999999
846,1440374400000,210.0943850637937
847,1440460800000,221.3282999999999
848,1440547200000,225.2666000000001
849,1440633600000,222.9704
850,1440720000000,231.6583
851,1440806400000,228.4683
852,1440892800000,228.0672
853,1440979200000,230.0781
854,1441065600000,227.1631
855,1441152000000,228.6427999999999
856,1441238400000,226.5658
857,1441324800000,230.0509
858,1441411200000,234.7495
859,1441497600000,239.1288999999999
860,1441584000000,240.503
861,1441670400000,243.5587
862,1441756800000,237.9452
863,1441843200000,238.7763
864,1441929600000,240.0007956438866
865,1442016000000,234.9098
866,1442102400000,230.5048000000001
867,1442188800000,230.21
868,1442275200000,229.9118
869,1442361600000,228.4640000000001
870,1442448000000,232.746
871,1442534400000,232.354
872,1442620800000,231.2732999999999
873,1442707200000,230.6597
874,1442793600000,226.4528
875,1442880000000,229.8831
876,1442966400000,229.8658
877,1443052800000,233.9255
878,1443139200000,234.9767
879,1443225600000,234.5278999999999
880,1443312000000,232.8346999999999
881,1443398400000,239.2765
882,1443484800000,237.2262
883,1443571200000,236.0463
884,1443657600000,237.7358
885,1443744000000,237.2592999999999
886,1443830400000,238.9718
887,1443916800000,238.6566
888,1444003200000,240.3238
889,1444089600000,246.444
890,1444176000000,243.2229000000001
891,1444262400000,242.9008
892,1444348800000,244.2051
893,1444435200000,245.3209
894,1444521600000,247.5392
895,1444608000000,245.5661
896,1444694400000,249.4051
897,1444780800000,252.6956
898,1444867200000,254.6295530746221
899,1444953600000,262.3735
900,1445040000000,270.3646
901,1445126400000,262.2345
902,1445212800000,264.2094
