,circulating_Ethereum,minted_Ethereum,datetime,circulating_Polygon,minted_Polygon,circulating_Tron,minted_Tron,circulating_BSC,minted_BSC
371,32862835470.46248,36283188702.72137,2023-05-18,675745892.659677,0,43059383345.4381,46124710623.334984,3379835998.5308657,0
372,32829827096.555096,36283188702.72137,2023-05-19,686053095.330102,0,43062595251.83162,46124710623.334984,3379836980.4255476,0
373,32850106165.04465,36283188702.72137,2023-05-20,686739283.2787681,0,43082465313.93618,46124710623.334984,3379846549.4810176,0
374,32857957278.406597,36283188702.72137,2023-05-21,680275607.375337,0,43087322745.436035,46124710623.334984,3379840475.28607,0
375,32981686658.240047,36283188702.72137,2023-05-22,668667484.2782539,0,42992574003.88653,46124710623.334984,3379821057.3252664,0
376,33040158155.33368,36283188702.72137,2023-05-23,676045754.595166,0,42975599757.20936,46124710623.334984,3379857925.589031,0
377,33039117768.885582,36283188702.72137,2023-05-24,675985342.3539122,0,43030498338.871605,46124710623.334984,3379786867.423694,0
378,33185599498.0136,36283188702.72137,2023-05-25,685079418.70886,0,42905848248.30286,46124710623.334984,3379805964.322666,0
379,33270497378.28102,36283188702.72137,2023-05-26,685242456.4333131,0,42820043747.16039,46124710623.334984,3379835773.4530373,0
380,33340161290.485184,36283188702.72137,2023-05-27,685837816.1406652,0,42753874854.01992,46124710623.334984,3379833891.4734116,0
381,33340522957.14498,36283188702.72137,2023-05-28,685804855.8617553,0,42758874486.58076,46124710623.334984,3379849252.4674106,0
382,33337916811.407246,36283188702.72137,2023-05-29,686838466.6255391,0,42759037611.74165,46124710623.334984,3379842954.7076945,0
383,33346071890.92836,36283188702.72137,2023-05-30,686826636.8201472,0,42774849626.57451,46124710623.334984,3379861996.6636214,0
384,33343846923.322323,36283188702.72137,2023-05-31,670850853.394838,0,42816682723.6075,46124710623.334984,3379843438.47342,0
385,33362203446.00415,36283188702.72137,2023-06-01,660052196.9361341,0,42854562480.70403,46124710623.334984,3379858332.610019,0
386,33372077382.005383,36283188702.72137,2023-06-02,670195074.1355453,0,42881471023.21468,46124710623.334984,3379893701.6979246,0
387,33379786580.72117,36283188702.72137,2023-06-03,664497528.5903902,0,42784450597.4857,46124710623.334984,3379900596.7232494,0
388,33366144371.79455,36283188702.72137,2023-06-04,662212842.04773,0,42789566306.9003,46124710623.334984,3379912621.0048447,0
389,33369120123.08144,36283188702.72137,2023-06-05,658436562.905392,0,42794215325.659035,46124710623.334984,3379923210.7451386,0
390,33373391819.199486,36283188702.72137,2023-06-06,655677650.7866671,0,42850941909.52785,46124710623.334984,3379928085.674212,0
391,33362775181.20964,36280615894.32097,2023-06-07,645582531.1922101,0,42933002831.475845,46123173899.412285,3379929435.323041,0
392,33377301580.738605,36280615894.32097,2023-06-08,632086647.4353241,0,42987731488.99805,46123173899.412285,3379838218.551359,0
393,33371269334.059082,36280615894.32097,2023-06-09,626407693.5500621,0,43008028654.59084,46123173899.412285,3379863939.8907804,0
394,33368788811.58977,36280615894.32097,2023-06-10,620653011.920857,0,43041972733.13814,46123173899.412285,3379863779.074528,0
395,33391630146.04686,36280615894.32097,2023-06-11,609557603.1056101,0,43047248528.419914,46123173899.412285,3379888500.4662914,0
396,33385992640.41348,36280615894.32097,2023-06-12,607457348.1697011,0,43052094062.35227,46123173899.412285,3379863393.1300383,0
397,34125138547.552574,37280615894.32097,2023-06-13,612896490.9787791,0,42423659126.72202,46123173899.412285,3379846438.943842,0
398,34322751637.273373,37280615894.32097,2023-06-14,626410211.369196,0,42253594356.27999,46123173899.412285,3379915027.389573,0
399,34382638205.51668,37280615894.32097,2023-06-15,650253959.824371,0,42207358324.01936,46123173899.412285,3380223496.419419,0
400,34490092087.21884,37530615894.32097,2023-06-16,650155580.6674069,0,42080375435.071556,46123173899.412285,3380211628.955375,0
401,35759176298.17951,38780615894.32097,2023-06-17,642987871.039287,0,40835565846.35166,46123173899.412285,3380169892.2842207,0
402,35697282032.98497,38780615894.32097,2023-06-18,628147615.548602,0,40507947664.15118,46123173899.412285,3380223082.921258,0
403,35773251134.495834,38780615894.32097,2023-06-19,624754232.8449761,0,40432884080.43575,46123173899.412285,3380242545.8791723,0
404,35889082029.38924,38780615894.32097,2023-06-20,622501261.9657291,0,40320585237.06516,46123173899.412285,3380222505.8444486,0
405,35989734401.499016,39030615894.32097,2023-06-21,622642651.5744059,0,40218724807.73511,46123173899.412285,3380238809.53458,0
406,35929181255.57476,39030615894.32097,2023-06-22,619371469.4159971,0,40280950398.263275,43023173899.412285,3380169081.1817446,0
407,35889677939.79624,39030615894.32097,2023-06-23,611880910.260509,0,40347443255.398155,43023173899.412285,3380202837.0244093,0
408,35889023639.96299,39030615894.32097,2023-06-24,611854609.793661,0,40347502599.20816,43023173899.412285,3380205887.2625065,0
409,35833686441.129456,39030615894.32097,2023-06-25,612086088.925557,0,40412760653.16747,43023173899.412285,3380200694.312401,0
410,35838294955.16487,39030615894.32097,2023-06-26,609701554.049046,0,40417931288.71837,43023173899.412285,3380214417.7626014,0
411,35884157072.889336,39030615894.32097,2023-06-27,607485656.6313441,0,40439154307.63106,43023173899.412285,3380272090.3193283,0
412,35875782414.52135,39030615894.32097,2023-06-28,603409721.778231,0,40445497253.87968,43023173899.412285,3380260322.588449,0
413,35869107971.76584,39030615894.32097,2023-06-29,600703062.385683,0,40530562799.937744,43023173899.412285,3380232652.5080385,0
414,35872218076.63817,39030615894.32097,2023-06-30,598356036.3704661,0,40583242344.1404,43023173899.412285,3380232641.5584817,0
415,35861608809.462814,39030615894.32097,2023-07-01,593200861.748539,0,40545856883.793465,43023173899.412285,3380266788.502442,0
416,35854330578.69329,39030615894.32097,2023-07-02,590861028.2762259,0,40545938724.66337,43023173899.412285,3380249461.9538345,0
417,35846951172.307526,39030615894.32097,2023-07-03,588337180.7699301,0,40545673328.68796,43023173899.412285,3380268870.0948424,0
418,35839186744.07478,39030615894.32097,2023-07-04,585322178.1104852,0,40556948554.50814,43023173899.412285,3380255160.1440263,0
419,35662358126.43739,39030615894.32097,2023-07-05,582016556.8276811,0,40723389761.066055,43023173899.412285,3380218777.5872602,0
420,35691259163.498375,39030615894.32097,2023-07-06,582165711.80366,0,40724762021.40529,43023173899.412285,3380219904.241266,0
421,35676615872.43834,39028663976.21174,2023-07-07,574845073.9736501,0,40726560114.086525,43022577873.272606,3380278297.9320903,0
422,35678480367.73409,39028663976.21174,2023-07-08,572057231.2483649,0,40730273923.580086,43022577873.272606,3380304550.593402,0
423,35672751678.60374,39028663976.21174,2023-07-09,570487506.538656,0,40730085030.75859,43022577873.272606,3380264059.595228,0
424,35657606325.92084,39028663976.21174,2023-07-10,568890139.8962209,0,40730174610.23939,43022577873.272606,3380280747.4891286,0
425,35642462690.80478,39028663976.21174,2023-07-11,569238310.780112,0,40767533670.841965,43022577873.272606,3380320901.612688,0
426,35621468275.45212,39028663976.21174,2023-07-12,563095375.5743071,0,40791787000.34714,43022577873.272606,3380334583.8311853,0
427,35477961416.25748,39028663976.21174,2023-07-13,560467589.4493021,0,40938465356.31983,44022577873.272606,3380342376.589642,0
428,35478878752.7234,39028663976.21174,2023-07-14,555608146.212064,0,40991998989.92885,44022577873.272606,3380299701.57694,0
429,35498443520.83083,39028471464.25077,2023-07-15,533171572.161296,0,41209795253.03049,44022577873.272606,3379801167.710174,0
430,35533200093.25037,39028471464.25077,2023-07-16,532992187.417921,0,41192145571.24915,44022577873.272606,3379819495.0668683,0
