,datetime,usdt_mcap,usdc_mcap,busd_mcap
151,2022-05-26,73283972220.11108,53459678522.20076,18436602630.277374
152,2022-05-27,73342226815.48833,53301625638.660904,18253957411.28344
153,2022-05-28,72578744671.24936,53643467177.48334,18160377133.462135
154,2022-05-29,72569743808.66728,53798595398.36748,18200763566.526917
155,2022-05-30,72631887214.77895,53890889128.86624,17998796193.255116
156,2022-05-31,72546423763.60416,53826859973.65647,17943279759.743855
157,2022-06-01,72483593605.70987,54003654728.7661,18188587186.920597
158,2022-06-02,72507199138.61003,54072438826.66845,18167724148.085606
159,2022-06-03,72606704176.49724,54076000823.576584,18095849068.787975
160,2022-06-04,72574254041.19345,54168799848.37451,18077925932.349174
161,2022-06-05,72563385811.28702,54094959418.309074,18086628709.958157
162,2022-06-06,72550808924.27303,54187767666.53029,18087343742.79838
163,2022-06-07,72460594246.57196,53828413758.921135,18276409845.971546
164,2022-06-08,72521860046.8122,53906740225.190636,18079877765.299576
165,2022-06-09,72479902354.95128,53755487848.0945,17953124385.038334
166,2022-06-10,72483632298.7905,53849615435.72309,17940178073.193188
167,2022-06-11,72520688667.83943,53908143847.913895,18048478490.10626
168,2022-06-12,72576221406.54123,53874889528.71376,17948060954.790497
169,2022-06-13,72537430319.23059,54301279573.94459,17711932839.727898
170,2022-06-14,72574376064.58528,54292415557.748245,17758616237.095303
171,2022-06-15,71656901175.2088,54202231644.04311,17564964386.08373
172,2022-06-16,70968169286.60156,54490560449.41742,17680091278.92484
173,2022-06-17,70235527691.20668,54854866421.04119,17630193432.438248
174,2022-06-18,68278037848.465485,55155090582.98617,17624878063.27663
175,2022-06-19,68151264125.48352,55466165647.24163,17533911553.329723
176,2022-06-20,68007814323.779625,56128609415.48004,17201023939.492832
177,2022-06-21,67174324823.029976,55879082300.27463,17308508478.603333
178,2022-06-22,67044714784.61816,55889328008.07019,17579334115.756065
179,2022-06-23,67075479327.27952,55915586934.603455,17531040137.620007
180,2022-06-24,66969005414.49898,55738930116.11856,17407494523.18876
181,2022-06-25,66944585773.38764,55911195637.68311,17386622998.736237
182,2022-06-26,66939386054.83684,56026893004.27495,17386951414.533524
183,2022-06-27,66896800206.77796,56053317628.7348,17348150349.108624
184,2022-06-28,66844453092.32324,55645129055.448685,17416764982.29147
185,2022-06-29,66839986606.59425,55645129055.448685,17367314919.39428
186,2022-06-30,66515975964.05574,55645129055.448685,17588309568.94957
187,2022-07-01,66360128640.29797,56159787682.472305,17687106283.381725
188,2022-07-02,66302770832.38144,55806408740.92539,17833694590.375427
189,2022-07-03,66302512371.13947,55812518073.50494,17820945443.862114
190,2022-07-04,66115548336.29838,55906902222.565636,17809187223.51881
191,2022-07-05,66068105560.54174,55965537332.53801,17788052105.765934
192,2022-07-06,65971651201.83549,55902560070.19187,17806518139.883827
193,2022-07-07,65985847014.49804,55666378875.87381,17802643431.37766
194,2022-07-08,66058697133.58462,55457611328.153305,17850419499.38426
195,2022-07-09,66180636451.069885,55451756130.59569,17866103745.962383
196,2022-07-10,66001881637.05004,55553592501.15755,17873037786.404026
197,2022-07-11,65994672794.216354,55460735369.85548,17875387658.562935
198,2022-07-12,65967920675.79629,55503183941.530876,18006681812.205563
199,2022-07-13,65924529650.69398,55307053640.016075,17908058627.336983
200,2022-07-14,66037742419.186584,55471635119.32025,17964106593.8939
201,2022-07-15,65822635783.93115,55299310302.63413,18100637870.85697
202,2022-07-16,65773604144.96095,54746590063.74996,17888587288.144344
203,2022-07-17,65849217963.17656,54834591386.65053,17915771980.55222
204,2022-07-18,65850178575.29938,54898002728.15673,17880935348.954803
205,2022-07-19,65849963622.2697,54874165484.06101,18140948063.227356
206,2022-07-20,65918469156.427505,54830779475.6825,18012399877.408173
207,2022-07-21,65892597498.04063,54793379074.026436,17990758403.27491
