Date,Open,High,Low,Close,Adj Close,Volume
2022-11-01,4.033000,4.055000,4.020000,4.050000,4.050000,0
2022-11-02,4.028000,4.058000,3.948000,4.025000,4.025000,0
2022-11-03,4.025000,4.028000,4.008000,4.025000,4.025000,0
2022-11-04,4.020000,4.028000,3.990000,4.013000,4.013000,0
2022-11-06,null,null,null,null,null,null
2022-11-07,4.010000,4.010000,3.968000,3.983000,3.983000,0
2022-11-08,4.095000,4.095000,4.065000,4.090000,4.090000,0
2022-11-09,4.080000,4.095000,4.000000,4.093000,4.093000,0
2022-11-10,4.095000,4.095000,3.948000,4.055000,4.055000,0
2022-11-11,4.063000,4.063000,4.063000,4.063000,4.063000,0
2022-11-13,null,null,null,null,null,null
2022-11-14,4.078000,4.090000,4.050000,4.068000,4.068000,0
2022-11-15,4.125000,4.130000,4.105000,4.130000,4.130000,0
2022-11-16,4.120000,4.130000,4.050000,4.125000,4.125000,0
2022-11-17,4.128000,4.135000,4.088000,4.113000,4.113000,0
2022-11-18,4.123000,4.138000,4.123000,4.135000,4.135000,0
2022-11-20,null,null,null,null,null,null
2022-11-21,4.123000,4.130000,4.083000,4.098000,4.098000,0
2022-11-22,4.200000,4.203000,4.190000,4.198000,4.198000,0
2022-11-23,4.205000,4.215000,4.168000,4.200000,4.200000,0
2022-11-25,4.175000,4.188000,4.145000,4.175000,4.175000,0
2022-11-27,null,null,null,null,null,null
2022-11-28,4.175000,4.190000,4.148000,4.183000,4.183000,0
2022-11-29,4.275000,4.280000,4.240000,4.253000,4.253000,0
2022-11-30,4.253000,4.270000,4.200000,4.253000,4.253000,0
2022-12-01,4.213000,4.223000,4.168000,4.193000,4.193000,0
2022-12-02,4.170000,4.210000,4.143000,4.208000,4.208000,0
2022-12-04,null,null,null,null,null,null
2022-12-05,4.178000,4.195000,4.155000,4.158000,4.158000,0
2022-12-06,4.245000,4.250000,4.200000,4.220000,4.220000,0
2022-12-07,4.208000,4.215000,4.155000,4.183000,4.183000,0
2022-12-08,4.180000,4.183000,4.105000,4.150000,4.150000,0
2022-12-09,4.143000,4.175000,4.120000,4.173000,4.173000,0
2022-12-11,null,null,null,null,null,null
2022-12-12,4.175000,4.180000,4.133000,4.168000,4.168000,0
2022-12-13,4.290000,4.290000,4.213000,4.248000,4.248000,0
2022-12-14,4.230000,4.240000,4.198000,4.220000,4.220000,0
2022-12-15,4.218000,4.218000,4.175000,4.213000,4.213000,0
2022-12-16,4.175000,4.183000,4.155000,4.163000,4.163000,0
2022-12-18,null,null,null,null,null,null
2022-12-19,4.183000,4.185000,4.148000,4.163000,4.163000,0
2022-12-20,4.253000,4.255000,4.213000,4.230000,4.230000,0
2022-12-21,4.210000,4.223000,4.200000,4.205000,4.205000,0
2022-12-22,4.195000,4.213000,4.178000,4.208000,4.208000,0
2022-12-23,4.195000,4.208000,4.183000,4.193000,4.193000,0
2022-12-25,null,null,null,null,null,null
2022-12-27,4.198000,4.223000,4.153000,4.195000,4.195000,0
2022-12-28,4.338000,4.343000,4.328000,4.338000,4.338000,0
2022-12-29,4.333000,4.333000,4.295000,4.295000,4.295000,0
2022-12-30,4.298000,4.300000,4.223000,4.260000,4.260000,0
2023-01-01,null,null,null,null,null,null
2023-01-03,4.260000,4.260000,4.225000,4.255000,4.255000,0
2023-01-04,4.390000,4.400000,4.378000,4.400000,4.400000,0
2023-01-05,4.408000,4.500000,4.400000,4.498000,4.498000,0
2023-01-06,4.510000,4.520000,4.455000,4.493000,4.493000,0
2023-01-08,null,null,null,null,null,null
2023-01-09,4.490000,4.503000,4.458000,4.483000,4.483000,0
2023-01-10,4.553000,4.580000,4.525000,4.565000,4.565000,0
2023-01-11,4.550000,4.570000,4.500000,4.555000,4.555000,0
2023-01-12,4.543000,4.543000,4.448000,4.475000,4.475000,0
2023-01-13,4.480000,4.488000,4.450000,4.488000,4.488000,0
2023-01-15,null,null,null,null,null,null
2023-01-17,4.490000,4.508000,4.468000,4.493000,4.493000,0
2023-01-18,4.543000,4.550000,4.400000,4.530000,4.530000,0
2023-01-19,4.535000,4.553000,4.465000,4.525000,4.525000,0
2023-01-20,4.525000,4.540000,4.520000,4.538000,4.538000,0
2023-01-22,null,null,null,null,null,null
2023-01-23,4.533000,4.543000,4.525000,4.535000,4.535000,0
2023-01-24,4.575000,4.578000,4.568000,4.573000,4.573000,0
2023-01-25,4.563000,4.565000,4.545000,4.545000,4.545000,0
2023-01-26,4.540000,4.550000,4.533000,4.543000,4.543000,0
2023-01-27,4.538000,4.548000,4.520000,4.548000,4.548000,0
2023-01-29,null,null,null,null,null,null
2023-01-30,4.545000,4.545000,4.535000,4.535000,4.535000,0
2023-01-31,4.580000,4.580000,4.565000,4.570000,4.570000,0
2023-02-01,4.560000,4.560000,4.500000,4.520000,4.520000,0
2023-02-02,4.513000,4.523000,4.475000,4.510000,4.510000,0
2023-02-03,4.498000,4.530000,4.455000,4.523000,4.523000,0
2023-02-05,null,null,null,null,null,null
2023-02-06,4.533000,4.540000,4.515000,4.533000,4.533000,0
2023-02-07,4.570000,4.575000,4.563000,4.570000,4.570000,0
2023-02-08,4.570000,4.588000,4.500000,4.585000,4.585000,0
2023-02-09,4.578000,4.613000,4.573000,4.613000,4.613000,0
2023-02-10,4.625000,4.643000,4.615000,4.635000,4.635000,0
2023-02-12,null,null,null,null,null,null
2023-02-13,4.640000,4.653000,4.633000,4.645000,4.645000,0
2023-02-14,4.663000,4.670000,4.645000,4.660000,4.660000,0
2023-02-15,4.650000,4.655000,4.643000,4.643000,4.643000,0
2023-02-16,4.645000,4.670000,4.640000,4.665000,4.665000,0
2023-02-17,4.675000,4.690000,4.673000,4.680000,4.680000,0
2023-02-19,null,null,null,null,null,null
2023-02-21,4.680000,4.695000,4.680000,4.688000,4.688000,0
2023-02-22,4.705000,4.708000,4.690000,4.695000,4.695000,0
2023-02-23,4.690000,4.698000,4.680000,4.690000,4.690000,0
2023-02-24,4.685000,4.710000,4.685000,4.703000,4.703000,0
2023-02-26,null,null,null,null,null,null
2023-02-27,4.690000,4.700000,4.648000,4.665000,4.665000,0
2023-02-28,4.720000,4.730000,4.710000,4.710000,4.710000,0
2023-03-01,4.715000,4.735000,4.700000,4.725000,4.725000,0
2023-03-02,4.720000,4.733000,4.713000,4.723000,4.723000,0
2023-03-03,4.708000,4.728000,4.705000,4.718000,4.718000,0
2023-03-05,null,null,null,null,null,null
2023-03-06,4.718000,4.730000,4.713000,4.728000,4.728000,0
2023-03-07,4.753000,4.845000,4.753000,4.845000,4.845000,0
2023-03-08,4.855000,4.883000,4.700000,4.883000,4.883000,0
2023-03-09,4.863000,4.875000,4.828000,4.848000,4.848000,0
2023-03-10,4.818000,4.830000,4.728000,4.803000,4.803000,0
2023-03-12,null,null,null,null,null,null
2023-03-13,4.438000,4.718000,4.418000,4.658000,4.658000,0
2023-03-14,4.743000,4.785000,4.633000,4.680000,4.680000,0
2023-03-15,4.563000,4.613000,4.498000,4.558000,4.558000,0
2023-03-16,4.570000,4.595000,4.455000,4.530000,4.530000,0
2023-03-17,4.505000,4.510000,4.248000,4.293000,4.293000,0
2023-03-19,null,null,null,null,null,null
2023-03-20,4.258000,4.470000,4.258000,4.465000,4.465000,0
2023-03-21,4.668000,4.678000,4.545000,4.605000,4.605000,0
2023-03-22,4.610000,4.615000,4.500000,4.563000,4.563000,0
2023-03-23,4.538000,4.568000,4.450000,4.503000,4.503000,0
2023-03-24,4.400000,4.518000,4.390000,4.503000,4.503000,0
2023-03-26,null,null,null,null,null,null
2023-03-27,4.560000,4.633000,4.558000,4.583000,4.583000,0
2023-03-28,4.633000,4.648000,4.578000,4.628000,4.628000,0
2023-03-29,4.613000,4.633000,4.400000,4.630000,4.630000,0
2023-03-30,4.628000,4.665000,4.575000,4.665000,4.665000,0
2023-03-31,4.635000,4.645000,4.580000,4.585000,4.585000,0
2023-04-02,null,null,null,null,null,null
2023-04-03,4.618000,4.640000,4.560000,4.570000,4.570000,0
2023-04-04,4.758000,4.760000,4.725000,4.728000,4.728000,0
2023-04-05,4.705000,4.713000,4.600000,4.705000,4.705000,0
2023-04-06,4.675000,4.718000,4.668000,4.710000,4.710000,0
2023-04-09,null,null,null,null,null,null
2023-04-10,4.748000,4.870000,4.723000,4.838000,4.838000,0
