,USDT_value,USDC_value,timestamp
240,42624956.66646,10407862.491489999,2021-01-15 00:00:00
241,19066890.60526,13547592.76831,2021-01-16 00:00:00
242,21276114.270290002,36158449.354320005,2021-01-17 00:00:00
243,15679163.78935,23561261.435730003,2021-01-18 00:00:00
244,7146221.27028,22553761.142300002,2021-01-19 00:00:00
245,8434841.116009999,15898718.153220002,2021-01-20 00:00:00
246,12743336.32513,15884614.81672,2021-01-21 00:00:00
247,42013141.908300005,13018011.3284,2021-01-22 00:00:00
248,10320870.31494,33413333.6754,2021-01-23 00:00:00
249,24639464.19696,30870797.0365,2021-01-24 00:00:00
250,15985805.51932,17748923.01299,2021-01-25 00:00:00
251,14280463.572700001,23360131.54036,2021-01-26 00:00:00
252,10624923.17537,27046811.35175,2021-01-27 00:00:00
253,9561443.63978,30311833.32472,2021-01-28 00:00:00
254,10377992.13015,47050729.4276,2021-01-29 00:00:00
255,39241398.585710004,55924428.65022,2021-01-30 00:00:00
256,34463408.20193,35114503.83918,2021-01-31 00:00:00
257,18237762.360689998,34986307.895380005,2021-02-01 00:00:00
258,11748346.91688,27308009.324649997,2021-02-02 00:00:00
259,5202857.89294,16068365.809829999,2021-02-03 00:00:00
260,8586324.63999,31295798.915570002,2021-02-04 00:00:00
261,4488537.76281,28503172.85336,2021-02-05 00:00:00
262,7913287.117040001,23268754.348070003,2021-02-06 00:00:00
263,55177287.91421,31652849.74252,2021-02-07 00:00:00
264,51397187.88651,31165646.04447,2021-02-08 00:00:00
265,66413596.487969995,3099291.35466,2021-02-09 00:00:00
266,9470253.215330001,14807793.93626,2021-02-10 00:00:00
267,7740340.2963499995,13410959.291329999,2021-02-11 00:00:00
268,12900440.29157,29258435.026660003,2021-02-12 00:00:00
269,7093176.66134,30345160.36355,2021-02-13 00:00:00
270,11911055.893939998,33687587.79988,2021-02-14 00:00:00
271,20744306.98342,27074700.50799,2021-02-15 00:00:00
272,15075369.060789999,22864177.80897,2021-02-16 00:00:00
273,20516055.86349,19121960.65397,2021-02-17 00:00:00
274,17132534.80178,10925272.75492,2021-02-18 00:00:00
275,39580823.89565,47992086.36005,2021-02-19 00:00:00
276,15872461.732900001,41720022.94733,2021-02-20 00:00:00
277,13697295.11843,55137376.90232,2021-02-21 00:00:00
278,13607743.886429999,47376195.32275,2021-02-22 00:00:00
279,37756141.47299,59835260.6048,2021-02-23 00:00:00
280,29181901.403160002,42191343.524900004,2021-02-24 00:00:00
281,5004714.92171,51875149.622889996,2021-02-25 00:00:00
282,8019015.497810001,35873718.68971,2021-02-26 00:00:00
283,20670549.004270002,64290304.41992,2021-02-27 00:00:00
284,20991373.464900002,54852951.22643,2021-02-28 00:00:00
285,9957119.13235,107205233.76120001,2021-03-01 00:00:00
286,10370439.23059,85184202.951,2021-03-02 00:00:00
287,13490828.196899999,82070954.19145,2021-03-03 00:00:00
288,9504935.45727,69309646.57576,2021-03-04 00:00:00
289,37034625.15859,40009571.927300006,2021-03-05 00:00:00
290,48218527.19908,66453983.40049,2021-03-06 00:00:00
291,22824636.580059998,66207683.1652,2021-03-07 00:00:00
292,17841412.11839,13851206.42097,2021-03-08 00:00:00
293,10804295.09235,14728487.70957,2021-03-09 00:00:00
294,28797037.45425,32374401.224919997,2021-03-10 00:00:00
295,10177699.40812,25937868.38073,2021-03-11 00:00:00
296,23916895.23762,53073335.53859,2021-03-12 00:00:00
297,29812841.109869998,62654981.359680004,2021-03-13 00:00:00
298,30257025.55019,42557362.68884,2021-03-14 00:00:00
299,29652896.76404,70798126.542,2021-03-15 00:00:00
300,26550007.32327,63328957.04531,2021-03-16 00:00:00
301,32351824.5059,46307815.63402,2021-03-17 00:00:00
302,22349080.15801,42504687.46272,2021-03-18 00:00:00
303,14308825.43792,46816036.971650004,2021-03-19 00:00:00
304,27668969.219860002,43918193.48265,2021-03-20 00:00:00
305,31416312.727399997,55738620.94958,2021-03-21 00:00:00
306,49037612.20115,103356812.57222,2021-03-22 00:00:00
307,34993676.95142,85572002.67836,2021-03-23 00:00:00
308,29557128.673559997,85861736.40737,2021-03-24 00:00:00
309,46269175.81187,85582705.98157999,2021-03-25 00:00:00
310,45719903.16816,138790576.91409,2021-03-26 00:00:00
311,57332085.00099,175694580.5795,2021-03-27 00:00:00
312,34942004.91706,115152594.73846,2021-03-28 00:00:00
313,92378713.49170001,125556336.96686,2021-03-29 00:00:00
314,34593363.66108,68352184.16975,2021-03-30 00:00:00
315,18195935.694790002,91467569.36344999,2021-03-31 00:00:00
316,15832417.68326,63583391.74973,2021-04-01 00:00:00
317,14228816.94648,80219363.85841,2021-04-02 00:00:00
318,18633732.89816,74960163.10246,2021-04-03 00:00:00
319,20742868.71707,32868006.37067,2021-04-04 00:00:00
320,21034807.74575,63978242.64415,2021-04-05 00:00:00
321,30050950.10243,62288661.03327,2021-04-06 00:00:00
322,23995623.44414,65294870.77377,2021-04-07 00:00:00
323,50017729.20779,70738550.73681,2021-04-08 00:00:00
324,34516076.01084,64681439.42881,2021-04-09 00:00:00
325,31082614.97135,64912239.42958,2021-04-10 00:00:00
326,24388254.463140003,53407728.80691,2021-04-11 00:00:00
327,24110516.207330003,50729822.33601999,2021-04-12 00:00:00
328,25980332.04215,58661008.87191,2021-04-13 00:00:00
329,26367457.07525,43978204.57207,2021-04-14 00:00:00
330,19689065.62147,66322035.08150001,2021-04-15 00:00:00
331,18527879.59536,53930607.70742001,2021-04-16 00:00:00
332,29719762.38512,74309532.70210999,2021-04-17 00:00:00
333,22876057.05922,54362574.634279996,2021-04-18 00:00:00
334,14897098.97783,109816683.61769,2021-04-19 00:00:00
335,18944373.915579997,62612926.85351,2021-04-20 00:00:00
336,30479943.640130002,115738628.25371,2021-04-21 00:00:00
337,25805444.71401,136394278.65315,2021-04-22 00:00:00
338,26604585.7066,133427992.16356,2021-04-23 00:00:00
339,73921439.99062,211125191.12666,2021-04-24 00:00:00
340,70476842.03165,284477300.22196,2021-04-25 00:00:00
341,45996047.86924,296640019.01357,2021-04-26 00:00:00
342,44576194.452539995,345540043.64944,2021-04-27 00:00:00
343,66705921.267340004,363422645.88662,2021-04-28 00:00:00
344,70711145.632,368759022.50818,2021-04-29 00:00:00
345,98124242.99877,378480801.70376,2021-04-30 00:00:00
346,83055951.65133,403078115.57093,2021-05-01 00:00:00
347,73227470.59275,401078788.99974996,2021-05-02 00:00:00
348,118364137.18558,396111991.96432,2021-05-03 00:00:00
349,105516814.73555,329032988.94167,2021-05-04 00:00:00
350,111924162.22425,358872132.72647,2021-05-05 00:00:00
351,85371233.21922,375887449.20838,2021-05-06 00:00:00
352,108366459.59468,346412902.78313,2021-05-07 00:00:00
353,102781753.08728,350581970.94436,2021-05-08 00:00:00
354,115703965.05394,359441378.09445,2021-05-09 00:00:00
355,107409078.32839999,393109851.88745,2021-05-10 00:00:00
356,98267125.69295,382452632.94817,2021-05-11 00:00:00
357,105992540.98203,371152266.35817,2021-05-12 00:00:00
358,119230294.81603,350854925.93751,2021-05-13 00:00:00
359,108331308.0967,373663914.19263,2021-05-14 00:00:00
360,109182497.72649999,377404971.22894,2021-05-15 00:00:00
361,147305054.16656,427077951.85316,2021-05-16 00:00:00
362,183893053.77353,486306866.1161,2021-05-17 00:00:00
363,182864598.56551,554332939.50184,2021-05-18 00:00:00
364,141882208.28976002,579817018.33634,2021-05-19 00:00:00
